employee_id,first_name,last_name,email,phone,hire_date,job_id,department_id
1,Russell,Young,speterson@gmail.com,(062)801-7172,11-04-2017,2,4
2,Jessica,Griffin,croberts@rivera.info,1833776114,20-07-2018,5,4
3,Amy,Martinez,jill16@yahoo.com,161-655-4385x468,23-09-2017,2,4
4,Tony,Rodriguez,brandon58@yahoo.com,130-685-3997,02-10-2018,6,5
5,Beth,Mata,mwhite@yahoo.com,-6701,17-12-2016,3,3
6,Samantha,White,vthompson@nolan-ryan.com,274.703.6112x71012,13-10-2023,6,4
7,Sara,Carlson,mhill@hotmail.com,362.243.0846,22-01-2020,7,1
8,Tyler,Johnson,theresamitchell@park.net,175-401-2667x091,16-10-2018,1,1
9,Brandon,Williams,johnsontamara@zimmerman.biz,529-342-7943,08-05-2017,2,2
10,Ashley,Barnett,pruittapril@santos.com,(970)837-6862,01-05-2019,2,5
11,John,Ramirez,lynnmcgee@yahoo.com,001-573-065-4153x345,12-04-2016,3,2
12,Christian,Taylor,tfriedman@gmail.com,474.504.8467,16-03-2021,5,2
13,Lisa,Duffy,gregorysimmons@hotmail.com,4086672122,04-03-2020,2,5
14,Desiree,Lawson,kirk00@hotmail.com,-1153,14-03-2022,2,1
15,Bradley,Hull,uconley@gmail.com,001-794-160-8041x116,18-06-2018,3,4
16,Cindy,Henderson,qallison@hotmail.com,740.956.3587,10-09-2018,1,1
17,Rachael,Lewis,jordanking@sharp.com,+1-444-747-0914x802,06-06-2018,6,3
18,Meagan,Randolph,ruizcheryl@gmail.com,001-967-097-3228x295,16-02-2023,1,2
19,Wesley,Moss,lindseymicheal@brooks.org,967.039.1778x74191,29-04-2021,4,5
20,Gregory,Perez,joseph04@rollins.biz,(352)145-8384,31-01-2021,1,1
21,Nancy,Stanley,lrobinson@beck.com,001-563-643-6793x380,12-02-2025,2,4
22,Marc,Owens,laura16@hotmail.com,001-974-119-7105x447,28-07-2025,6,3
23,Vincent,Riggs,mmartin@yahoo.com,170.052.6101,24-09-2021,4,2
24,Gina,Morgan,kelly91@gonzalez.org,001-681-292-9078x53108,01-12-2017,6,1
25,Amy,Howell,crystal27@hotmail.com,001-754-872-9488,12-11-2019,7,4
26,Joanne,Li,darren40@meyers-lewis.com,(039)599-0980x87505,26-06-2016,6,1
27,Brian,Gibson,christophermcguire@gmail.com,001-864-526-6667,13-09-2018,3,3
28,Ryan,Watson,donnaschultz@ray.com,+1-858-354-4141x9960,19-06-2019,2,5
29,David,Cowan,johnsonedward@yahoo.com,(142)876-8134x947,20-04-2025,4,1
30,Julia,Hartman,kathryn50@hotmail.com,(363)259-0208x685,16-03-2022,4,2
31,Ashley,Cooper,martinezerin@yahoo.com,001-531-323-0004x8871,15-04-2022,6,1
32,Sara,Schwartz,andersonwilliam@gmail.com,+1-812-054-7427x10299,22-05-2019,2,3
33,Manuel,Smith,guzmanmelissa@yahoo.com,242-348-7073x957,10-07-2021,6,3
34,Jennifer,Daniels,ejackson@yahoo.com,533-959-4608x503,16-09-2020,6,1
35,Kayla,Santos,courtneyford@hotmail.com,(751)527-4861x549,20-03-2020,5,1
36,Nicole,Farrell,ggraham@austin.org,(996)682-5600,30-10-2024,1,5
37,Travis,Mckenzie,kcruz@huffman-yang.com,+1-608-050-8700x97448,09-03-2023,4,4
38,Brandy,Braun,susan69@yahoo.com,001-063-494-2393x0908,26-07-2024,3,3
39,Tina,Parker,tpark@hotmail.com,(221)039-7763x79384,09-03-2023,5,2
40,Deanna,Cole,shelly23@yahoo.com,001-349-658-2764,07-05-2025,2,4
41,William,Smith,lindseyfritz@turner.info,(863)199-0101,26-08-2024,7,5
42,Jessica,Hernandez,shawnmurphy@gmail.com,331-867-2798x9655,07-03-2020,1,5
43,Kelly,Mcdonald,dylan96@sanchez.com,+1-359-919-8856x96581,22-02-2021,2,5
44,Mason,Mclean,eroberts@smith-brown.com,(973)507-2372x13814,16-01-2025,7,4
45,Debra,Holland,rebeccaking@gmail.com,969-293-8905,11-03-2024,3,5
46,Steven,Welch,courtney89@hotmail.com,001-742-411-8069x2468,30-10-2024,5,4
47,Anna,Sanchez,leebrenda@gmail.com,582-063-4384,30-10-2024,5,4
48,Mary,Tran,carolyn43@martin-carrillo.com,181-181-6393x73628,07-09-2017,7,1
49,Timothy,Serrano,jeffery66@walker-williams.org,001-638-728-9268x0067,20-02-2021,7,2
50,Michele,Townsend,willismark@yahoo.com,001-872-418-6877x70701,15-11-2024,6,4
51,Brian,Jenkins,oreynolds@sanchez.com,001-510-606-4072,13-11-2017,7,4
52,Christopher,Rogers,rhodesbrian@hotmail.com,001-276-103-5799x5054,22-01-2017,6,3
53,William,Zuniga,qrodgers@gonzalez.biz,554945883,07-08-2024,3,1
54,Jeffrey,Garcia,karen70@anderson.com,317-165-5452,31-03-2020,4,5
55,Richard,Williams,sharonrush@reid-miller.com,930-711-1601x820,04-10-2018,2,4
56,Marcus,Hale,gilesronald@hotmail.com,-6216,19-01-2018,3,3
57,Sarah,Romero,david79@gmail.com,(347)513-8997x5965,24-07-2023,4,5
58,Brian,Stout,bhorne@king-williams.biz,5441948994,22-04-2017,1,1
